workload,Channel,PRAC_WO_Mitigation,Mix_index,Benchmark_Types
MIX0,1.0,0.8846435922601029,0.0,HHHH (15)
MIX1,1.0,0.9051335094465394,1.0,HHHH (15)
MIX10,1.0,0.8827535992749542,10.0,HHHH (15)
MIX11,1.0,0.9235694295395387,11.0,HHHH (15)
MIX12,1.0,0.8643331014812452,12.0,HHHH (15)
MIX13,1.0,0.8780800298450876,13.0,HHHH (15)
MIX14,1.0,0.8806880545915878,14.0,HHHH (15)
MIX15,1.0,0.9230772989368984,15.0,MMMM (15)
MIX16,1.0,0.8901683697323189,16.0,MMMM (15)
MIX17,1.0,0.9110093869215035,17.0,MMMM (15)
MIX18,1.0,0.9168293131764333,18.0,MMMM (15)
MIX19,1.0,0.8936796799240557,19.0,MMMM (15)
MIX2,1.0,0.8564549386622182,2.0,HHHH (15)
MIX20,1.0,0.8819674372903568,20.0,MMMM (15)
MIX21,1.0,0.8719296832195697,21.0,MMMM (15)
MIX22,1.0,0.8858590770878082,22.0,MMMM (15)
MIX23,1.0,0.8931296925696056,23.0,MMMM (15)
MIX24,1.0,0.8890138309057857,24.0,MMMM (15)
MIX25,1.0,0.8951715557665739,25.0,MMMM (15)
MIX26,1.0,0.8752188243677891,26.0,MMMM (15)
MIX27,1.0,0.8868287347864177,27.0,MMMM (15)
MIX28,1.0,0.8948950588482478,28.0,MMMM (15)
MIX29,1.0,0.8912195089531282,29.0,MMMM (15)
MIX3,1.0,0.9075773596586542,3.0,HHHH (15)
MIX30,1.0,0.9814137976953171,30.0,LLLL (15)
MIX31,1.0,0.9869752551100753,31.0,LLLL (15)
MIX32,1.0,0.9751356282633445,32.0,LLLL (15)
MIX33,1.0,0.9757047619952988,33.0,LLLL (15)
MIX34,1.0,0.9622035666306568,34.0,LLLL (15)
MIX35,1.0,0.9814039605163951,35.0,LLLL (15)
MIX36,1.0,0.992447270544387,36.0,LLLL (15)
MIX37,1.0,0.9771259526655129,37.0,LLLL (15)
MIX38,1.0,0.9616630213594529,38.0,LLLL (15)
MIX39,1.0,0.9730825598318744,39.0,LLLL (15)
MIX4,1.0,0.8857539238104838,4.0,HHHH (15)
MIX40,1.0,0.9543092035059968,40.0,LLLL (15)
MIX41,1.0,0.9783054022790807,41.0,LLLL (15)
MIX42,1.0,0.9726820535104109,42.0,LLLL (15)
MIX43,1.0,0.9970755402665786,43.0,LLLL (15)
MIX44,1.0,0.9861327398688976,44.0,LLLL (15)
MIX45,1.0,0.8955531960901704,45.0,HHMM (15)
MIX46,1.0,0.8697840299494902,46.0,HHMM (15)
MIX47,1.0,0.8819400515334183,47.0,HHMM (15)
MIX48,1.0,0.9077651468007671,48.0,HHMM (15)
MIX49,1.0,0.8764294820947468,49.0,HHMM (15)
MIX5,1.0,0.8874918018603454,5.0,HHHH (15)
MIX50,1.0,0.9052576939761214,50.0,HHMM (15)
MIX51,1.0,0.8911033933931453,51.0,HHMM (15)
MIX52,1.0,0.8976771359044862,52.0,HHMM (15)
MIX53,1.0,0.8951598004412483,53.0,HHMM (15)
MIX54,1.0,0.8760803752642272,54.0,HHMM (15)
MIX55,1.0,0.8711558159885442,55.0,HHMM (15)
MIX56,1.0,0.9092878791626482,56.0,HHMM (15)
MIX57,1.0,0.8743134030207282,57.0,HHMM (15)
MIX59,1.0,0.8814102076269158,59.0,HHMM (15)
MIX6,1.0,0.8773749119497115,6.0,HHHH (15)
MIX60,1.0,0.9037209693057877,60.0,HHLL (15)
MIX61,1.0,0.914817414853014,61.0,HHLL (15)
MIX62,1.0,0.8885554835241644,62.0,HHLL (15)
MIX63,1.0,0.9176794631030003,63.0,HHLL (15)
MIX64,1.0,0.9245574683107474,64.0,HHLL (15)
MIX65,1.0,0.9215096040674855,65.0,HHLL (15)
MIX66,1.0,0.9140144124597531,66.0,HHLL (15)
MIX67,1.0,0.8801649383452206,67.0,HHLL (15)
MIX68,1.0,0.9295288415373559,68.0,HHLL (15)
MIX69,1.0,0.9376736831989073,69.0,HHLL (15)
MIX7,1.0,0.9089633161381994,7.0,HHHH (15)
MIX70,1.0,0.929956426633104,70.0,HHLL (15)
MIX71,1.0,0.9267344125616983,71.0,HHLL (15)
MIX72,1.0,0.9070370061875657,72.0,HHLL (15)
MIX73,1.0,0.9061472728354113,73.0,HHLL (15)
MIX74,1.0,0.9163052076013125,74.0,HHLL (15)
MIX75,1.0,0.9329413220014934,75.0,MMLL (15)
MIX76,1.0,0.9330597772814184,76.0,MMLL (15)
MIX77,1.0,0.942832020011666,77.0,MMLL (15)
MIX78,1.0,0.9579578658466378,78.0,MMLL (15)
MIX79,1.0,0.9442733742440085,79.0,MMLL (15)
MIX8,1.0,0.8859598616676206,8.0,HHHH (15)
MIX80,1.0,0.9463398953178034,80.0,MMLL (15)
MIX81,1.0,0.9221037680581685,81.0,MMLL (15)
MIX82,1.0,0.943512192291467,82.0,MMLL (15)
MIX83,1.0,0.8821912804306772,83.0,MMLL (15)
MIX84,1.0,0.8884632067851416,84.0,MMLL (15)
MIX85,1.0,0.9177753179191108,85.0,MMLL (15)
MIX86,1.0,0.9421502655326601,86.0,MMLL (15)
MIX87,1.0,0.9375874393896356,87.0,MMLL (15)
MIX88,1.0,0.924065382713353,88.0,MMLL (15)
MIX89,1.0,0.9214716105524784,89.0,MMLL (15)
MIX9,1.0,0.8765352460397351,9.0,HHHH (15)
HHHH (15),1.0,0.8868575456752842,,
MMMM (15),1.0,0.893229330320977,,
LLLL (15),1.0,0.9769800068042628,,
HHMM (15),1.0,0.8879647016096787,,
HHLL (15),1.0,0.9144348684434763,,
MMLL (15),1.0,0.9288910867051542,,
All (90),1.0,0.9144690696995508,,
